City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
529,Quatre Cocos,MU,69.91,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
533,Kemerovo,RU,65.89,light rain,55.3333,86.0833,Olymp-Plaza
538,Chicama,PE,66.74,clear sky,-7.8447,-79.1469,Balihai Bungalows
542,Lalin,ES,62.33,scattered clouds,42.7167,-8.1167,A Palleira De ROQUE
556,Novobiryusinskiy,RU,61.88,overcast clouds,56.9578,97.7076,Gostinitsa
557,Morshansk,RU,61.77,overcast clouds,53.4435,41.8107,Stambul Motel
566,Galesong,ID,66.22,scattered clouds,-5.3166,119.3661,Sapriadi Appy
572,Penzance,GB,65.08,broken clouds,50.1186,-5.5371,Artist Residence Penzance
573,Muros,ES,66.7,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
590,Shibetsu,JP,66.18,overcast clouds,43.659,145.132,Hotel Kawabata Shibetsu
592,Kitgum,UG,68.0,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
598,Martyush,RU,61.88,broken clouds,56.4,61.8819,Hotel Yuzhnaia
605,Lonevag,NO,68.2,broken clouds,60.5262,5.4937,Osterøy Minihotell
610,Kargasok,RU,64.24,clear sky,59.0556,80.8572,Hotel Kargasok
614,Inverkeithing,GB,67.89,clear sky,56.033,-3.3956,DoubleTree by Hilton
620,Concarneau,FR,65.05,scattered clouds,47.875,-3.9225,Brit Hotel de L' Océan
621,Le Port,RE,68.0,broken clouds,-20.9373,55.2919,KORBEY D'OR OUEST
624,Hualmay,PE,66.61,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
625,Bowen,AU,63.27,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
630,Colares,PT,69.48,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
631,Miyang,CN,65.89,light rain,24.4042,103.4428,Huibinlou Hotel
632,Evanton,GB,65.14,few clouds,57.6638,-4.34,Balconie House (Simonelli Apartments)
642,Ornskoldsvik,SE,67.15,overcast clouds,63.2909,18.7153,ファーストホテル スタット
645,Vrnjacka Banja,RS,67.24,clear sky,43.6167,20.9,Luxury Rooms Minjon
650,Taltal,CL,60.85,few clouds,-25.4,-70.4833,Residencial Karime
659,Camana,PE,63.9,scattered clouds,-16.6228,-72.7111,Hostal Morales
665,Apata,RO,63.91,few clouds,45.95,25.5167,Izvorul Caprioarei
667,Perafita,PT,63.21,broken clouds,41.1825,-8.2545,Penafiel Park Hotel & Spa
